key,es,en
_dev.smoke.child,"Las puertas de Burgos se cierran.","The gates of Burgos are shutting."
_dev.smoke.alvar,"La mesnada está lista, mio Cid.","The warband is ready, my Cid."
_dev.smoke.cid,"Campamos junto al río.","We camp by the river."
a1_vivar.call_alvar,"Álvar.","Álvar."
a1_vivar.alvar_here,"Aquí, mio Cid. El solar está vacío.","Here, my Cid. The solar is empty."
a1_vivar.call_martin,"Martín.","Martín."
a1_vivar.martin_here,"A vuestro servicio. Las arcas, idas.","At your service. The chests are gone."
a1_vivar.empty_solar,"Nueve días. Cruzamos la frontera.","Nine days. We cross the frontier."
char.burgos_child,"Niño","Child"
a1_burgos.inn_refused,"No hay posada para vosotros. El rey lo vedó.","There is no lodging for you. The king forbade it."
a1_burgos.camp_river,"Campamos junto al río.","We camp by the river."
a1_burgos.steel_drawn,"No. Mesura. No desenvainéis contra burgaleses.","No. Mesura. Do not draw on the burgaleses."
char.raquel,"Raquel","Raquel"
char.vidas,"Vidas","Vidas"
char.martin_antolinez,"Martín Antolínez","Martín Antolínez"
a1_arcas.prompt,"Martín trae a Raquel y a Vidas. Las arcas de arena.","Martín brings Raquel and Vidas. The sand chests."
a1_arcas.martin_offer,"En Burgos me conocen. Llenemos las arcas de arena.","Burgos knows me. Let us fill the chests with sand."
a1_arcas.raquel_ask,"Dos arcas selladas. Seiscientos marcos, mio Cid.","Two sealed chests. Six hundred marks, my Cid."
a1_arcas.vidas_ask,"Nadie las abre hasta que volváis.","No one opens them until you return."
a1_arcas.choice_cheat,"Llenar las arcas de arena","Fill the chests with sand"
a1_arcas.choice_refuse,"Rehusar el engaño","Refuse the cheat"
a1_arcas.cheat_done,"Los marcos entran. La honra se mancha.","The marks come in. The name is stained."
a1_arcas.refuse_done,"Sin marcos. La mesnada ayuna.","No marks. The warband goes hungry."
a1_arcas.ticker_title,"Deserción","Desertion"
a1_arcas.ticker_lanzas,"lanzas","lanzas"
a1_arcas.ticker_hunger,"ayuno","unfed"
char.jimena,"Doña Jimena","Doña Jimena"
char.elvira,"Elvira","Elvira"
char.sol,"Sol","Sol"
char.sisebuto,"Abad Sisebuto","Abbot Sisebuto"
a1_cardena.jimena_nail,"Como la uña de la carne. No nos apartéis.","Like the nail from the flesh. Do not part us."
a1_cardena.elvira,"Mio Cid, no nos dejéis en el claustro.","My Cid, do not leave us in the cloister."
a1_cardena.sol,"Os esperaremos en Cardeña.","We will wait for you in Cardeña."
a1_cardena.abbot,"San Pedro os guarda a ellas. Recibid esta casa.","San Pedro keeps them. Receive this house."
a1_cardena.gift,"Cuarenta marcos para San Pedro. Os dejo a mi mujer y a mis hijas.","Forty marks for San Pedro. I leave you my wife and my daughters."
a1_cardena.leave,"Abrazo y camino. No hay vuelta.","Embrace, and I ride. There is no return."
char.gabriel,"Gabriel","Gabriel"
a1_navapalos.gabriel_dream,"Mientras viváis, bien se hará lo vuestro.","While you live you will succeed."
a1_navapalos.sleep,"Duermo. El plazo se cumple.","I sleep. The plazo is done."

